
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 54.206 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Gobicyon	12.912	8.422	
Hesperocyon	43.374	22.873	
Hesperocyon_coloradensis	33.602	33.383	
Hesperocyon_gregarius	39.463	31.44	
Hesperocyoninae	27.473	20.915	
Leptocyon	24.153	8.894	
Leptocyon_delicatus	22.281	22.281	
Leptocyon_douglassi	29.468	24.453	
Leptocyon_gregorii	24.025	20.67	
Leptocyon_leidyi	23.585	13.882	
Leptocyon_matthewi	13.599	9.781	
Leptocyon_mollis	29.657	29.657	
Leptocyon_tejonensis	12.67	12.67	
Leptocyon_vafer	19.591	6.671	
Leptocyon_vulpinus	24.058	16.216	
Lycaon	3.509	0.087	
Lycaon_pictus	2.159	0.002	
Mesocyon	30.627	30.627	
Mesocyon_brachyops	30.46	20.92	
Mesocyon_coryphaeus	29.806	27.372	
Mesocyon_temnodon	33.761	20.471	
Metalopex_bakeri	7.035	7.035	
Metalopex_macconnelli	22.194	12.64	
Metalopex_merriami	19.358	4.93	
Metatomarctus	20.138	20.138	
Metatomarctus_canavus	20.215	12.675	
Microtomarctus_conferta	21.368	6.302	
Neovulpavus_washakius	44.287	44.287	
Nyctereutes	6.649	0.704	
Nyctereutes_abdeslami	3.193	3.014	
Nyctereutes_procyonoides	1.367	0.052	
Osbornodon_brachypus	22.769	16.515	
Osbornodon_fricki	19.796	13.92	
Osbornodon_iamonensis	18.206	16.245	
Osbornodon_renjiei	33.365	31.104	
Osbornodon_scitulus	20.13	16.338	
Osbornodon_sesnoni	31.308	25.586	
Osbornodon_wangi	30.623	30.623	
Otarocyon_cooki	30.536	22.731	
Otarocyon_macdonaldi	33.617	33.321	
Otocyon	3.017	0.445	
Otocyon_megalotis	1.932	0.002	
Oxetocyon	32.853	30.965	
Oxetocyon_cuspidatus	32.902	31.279	
Paracynarctus_kelloggi	17.708	10.217	
Paracynarctus_sinclairi	19.147	14.986	
Paraenhydrocyon_josephi	28.121	20.571	
Paraenhydrocyon_robustus	22.165	21.355	
Paraenhydrocyon_wallovianus	30.348	21.08	
Paratomarctus_euthos	17.427	7.283	
Paratomarctus_temerarius	22.552	8.803	
Philotrox_condoni	30.798	27.989	
Phlaocyon	21.517	17.269	
Phlaocyon_achoros	23.153	23.153	
Phlaocyon_annectens	24.538	22.512	
Phlaocyon_latidens	31.971	21.94	
Phlaocyon_leucosteus	24.648	16.092	
Phlaocyon_mariae	18.158	18.158	
Phlaocyon_marslandensis	19.785	16.467	
Phlaocyon_minor	29.062	16.547	
Phlaocyon_multicuspus	23.976	23.976	
Phlaocyon_taylori	30.616	23.912	
Phlaocyon_yatkolai	17.583	17.583	
Protemnocyon_inflatus	33.619	33.619	
Protepicyon_raki	15.311	13.748	
Protocyon	2.24	0.052	
Protocyon_orcesi	0.307	0.307	
Protocyon_tarijensis	1.66	1.66	
Protocyon_troglodytes	0.958	0.041	
Protomarctus_optatus	20.081	11.143	
Psalidocyon_marianae	19.744	13.908	
Pseudalopex_gymnocercus	2.56	0.007	extant
Rhizocyon_oregonensis	26.986	22.793	
Speothos	2.259	2.259	
Speothos_venaticus	0.007	0.007	
Sunkahetanka_geringensis	30.616	21.345	
Tephrocyon_rurestris	15.292	7.736	
Theriodictis	1.369	0.036	
Theriodictis_floridanus	2.971	2.567	
Tomarctus	16.475	13.038	
Tomarctus_brevirostris	20.874	12.504	
Tomarctus_hippophaga	20.27	13.666	
Urocyon	13.471	0.044	
Urocyon_cinereoargenteus	4.404	0.01	
Urocyon_citrinus	4.106	4.106	
Urocyon_galushai	4.677	1.873	
Urocyon_minicephalus	0.615	0.542	
Urocyon_progressus	2.229	2.229	
Urocyon_webbi	5.422	5.422	
Vulpes	9.73	0.007	
Vulpes_cascadensis	0.05	0.05	
Vulpes_chama	2.549	0.002	
Vulpes_kernensis	12.733	12.733	
Vulpes_mathisoni	5.086	5.086	
Vulpes_stenognathus	14.335	0.61	
Vulpes_velox	2.348	0.02	
Vulpes_vulpes	2.768	0.003	
Vulpes_vulpes_macroura	0.106	0.106	
Vulpini	0.064	0.064	
Xenocyon	2.253	0.641	
Xenocyon_lycaonoides	2.096	0.153	
Xenocyon_texanus	0.879	0.879	
